time_iso8601,stars_cumulative
2023-05-09 00:00:00+00:00,1602
2023-05-10 00:00:00+00:00,1604
2023-05-11 00:00:00+00:00,1605
2023-05-12 00:00:00+00:00,1608
2023-05-13 00:00:00+00:00,1609
2023-05-14 00:00:00+00:00,1613
2023-05-16 00:00:00+00:00,1615
2023-05-17 00:00:00+00:00,1618
2023-05-18 00:00:00+00:00,1620
2023-05-19 00:00:00+00:00,1622
2023-05-20 00:00:00+00:00,1623
2023-05-21 00:00:00+00:00,1624
2023-05-23 00:00:00+00:00,1625
2023-05-25 00:00:00+00:00,1626
2023-05-26 00:00:00+00:00,1627
2023-05-27 00:00:00+00:00,1630
2023-05-28 00:00:00+00:00,1631
2023-05-29 00:00:00+00:00,1632
2023-05-30 00:00:00+00:00,1633
2023-05-31 00:00:00+00:00,1634
2023-06-01 00:00:00+00:00,1635
2023-06-02 00:00:00+00:00,1664
2023-06-03 00:00:00+00:00,1676
2023-06-04 00:00:00+00:00,1681
2023-06-05 00:00:00+00:00,1692
2023-06-06 00:00:00+00:00,1696
2023-06-07 00:00:00+00:00,1698
2023-06-08 00:00:00+00:00,1701
2023-06-09 00:00:00+00:00,1705
2023-06-10 00:00:00+00:00,1707
2023-06-11 00:00:00+00:00,1708
2023-06-12 00:00:00+00:00,1711
2023-06-13 00:00:00+00:00,1714
2023-06-14 00:00:00+00:00,1715
2023-06-16 00:00:00+00:00,1718
2023-06-18 00:00:00+00:00,1719
