id,Movie,Genre
787,128856,18
788,62439,35
789,24090,27
790,71139,18
791,18551,18
792,3716,12
793,86920,12
794,192133,10402
795,36246,35
796,1482,28
797,118139,80
798,262945,18
799,105906,10769
800,66759,28
801,10805,18
802,155765,12
803,374614,18
804,33786,35
805,221171,16
806,172785,18
807,34723,10751
808,38031,10749
809,41551,53
810,14869,878
811,90001,16
812,6499,53
813,128856,53
814,53392,35
815,43935,9648
816,14587,18
817,27349,37
818,300424,16
819,343369,10770
820,55853,18
821,20473,10751
822,253337,10402
823,53685,18
824,82237,35
825,34113,10402
826,91715,35
827,277968,18
828,27245,14
829,53514,10749
830,78854,35
831,14387,35
832,7249,878
833,41115,18
834,16806,80
835,86709,28
836,76198,18
837,78522,27
838,282963,18
839,163,80
840,194407,10749
841,2047,18
842,35569,28
843,94480,878
844,37534,27
845,39462,10751
846,331075,14
847,9765,18
848,26502,18
849,215379,37
850,38055,16
851,102444,37
852,13437,80
853,121154,10752
854,46007,10402
855,25941,80
856,30876,27
857,253286,80
858,369366,99
859,81538,36
860,252724,18
861,46586,53
862,315256,27
863,59962,28
864,31377,10751
865,15674,10751
866,102629,18
867,52784,18
868,220674,35
869,16999,12
870,329243,35
871,81687,10749
872,37910,16
873,14874,10749
874,246741,35
875,98369,35
876,117999,18
877,185154,18
878,46368,28
879,125300,35
880,148,18
881,33729,18
882,9095,27
883,29471,18
884,32790,18
885,317182,18
886,8915,12
887,68721,12
888,363579,36
889,38006,12
890,317246,12
891,230211,35
892,3173,53
893,42678,18
894,12255,53
895,219233,36
896,2613,10749
897,13596,10749
898,16432,9648
899,131343,53
900,86472,37
901,43369,10749
902,278334,53
903,16996,35
904,113178,35
905,14405,35
906,317,18
907,23152,10749
908,58664,27
909,53931,10751
910,67328,28
911,21250,16
912,72096,18
913,11887,35
914,226701,10770
915,270007,28
916,34650,9648
917,49009,12
918,184341,18
919,32921,10752
920,71376,53
921,358724,27
922,393939,878
923,7454,27
924,68472,53
925,9519,80
926,85648,37
927,51759,10402
928,315664,18
929,40466,53
930,12631,35
931,68179,10751
932,13079,9648
933,64316,28
934,76465,10749
935,82485,80
936,34935,16
937,3478,36
938,119926,18
939,121516,35
940,55435,16
941,240913,18
942,446048,35
943,104739,10769
944,203539,10402
945,354857,16
946,13380,14
947,77641,37
948,93828,80
949,334132,18
950,96107,10749
951,204040,12
952,38850,80
953,2463,53
954,76871,10749
955,7096,14
956,1396,18
957,16137,9648
958,52949,9648
959,68163,878
960,94348,53
961,225728,10752
962,92349,18
963,17483,10749
964,47310,14
965,10874,10402
966,43209,12
967,294483,18
968,56491,28
969,33112,10749
970,245706,80
971,84971,9648
972,245597,10749
973,2463,18
974,187010,35
975,490,18
976,193387,35
977,42402,18
978,22554,35
979,113040,878
980,48502,10769
981,8916,12
982,3989,28
983,65713,35
984,43783,10402
985,27380,878
986,47943,35
987,25006,18
988,323370,27
989,31597,80
990,116432,18
991,185460,9648
992,21570,18
993,342213,35
994,27045,80
995,83191,12
996,215379,878
997,10003,10749
998,227200,16
999,38021,10749
1000,21620,10769
1001,165181,878
1002,277558,28
1003,33916,80
1004,374618,14
1005,14136,35
1006,32338,10751
1007,25913,16
1008,124115,10749
1009,259830,878
1010,210079,53
1011,288521,10749
1012,88557,16
1013,145316,16
1014,13654,10751
1015,27966,18
1016,84727,10749
1017,81003,10751
1018,177354,10749
1019,296626,9648
