time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-26 00:00:00+00:00,10,6,74,12
2024-05-27 00:00:00+00:00,172,10,87,31
2024-05-28 00:00:00+00:00,4,4,98,28
2024-05-29 00:00:00+00:00,69,8,92,28
2024-05-30 00:00:00+00:00,9,7,184,44
2024-05-31 00:00:00+00:00,41,9,68,32
2024-06-01 00:00:00+00:00,5,5,66,20
2024-06-02 00:00:00+00:00,5,5,90,12
2024-06-03 00:00:00+00:00,40,7,139,28
2024-06-04 00:00:00+00:00,274,11,169,31
2024-06-05 00:00:00+00:00,266,14,98,25
2024-06-06 00:00:00+00:00,323,13,181,25
2024-06-07 00:00:00+00:00,15,11,69,23
2024-06-08 00:00:00+00:00,6,6,38,12
2024-06-09 00:00:00+00:00,16,12,29,18
2024-06-10 00:00:00+00:00,199,11,180,28
2024-06-11 00:00:00+00:00,200,13,124,29
2024-06-12 00:00:00+00:00,191,9,72,24
2024-06-13 00:00:00+00:00,179,20,237,35
2024-06-14 00:00:00+00:00,181,17,154,31
2024-06-15 00:00:00+00:00,6,5,14,11
2024-06-16 00:00:00+00:00,38,4,45,22
2024-06-17 00:00:00+00:00,239,10,106,24
2024-06-18 00:00:00+00:00,257,15,127,29
2024-06-19 00:00:00+00:00,75,7,55,16
2024-06-20 00:00:00+00:00,236,19,87,25
2024-06-21 00:00:00+00:00,381,9,75,24
2024-06-22 00:00:00+00:00,4,4,59,13
2024-06-23 00:00:00+00:00,5,5,59,13
2024-06-24 00:00:00+00:00,182,7,124,23
2024-06-25 00:00:00+00:00,341,8,170,35
2024-06-26 00:00:00+00:00,406,7,167,26
2024-06-27 00:00:00+00:00,234,4,891,34
2024-06-28 00:00:00+00:00,124,5,836,33
2024-06-29 00:00:00+00:00,6,3,49,22
2024-06-30 00:00:00+00:00,1,1,40,16
2024-07-01 00:00:00+00:00,64,2,110,19
2024-07-02 00:00:00+00:00,303,9,196,28
2024-07-03 00:00:00+00:00,420,9,260,32
2024-07-04 00:00:00+00:00,133,5,81,28
2024-07-05 00:00:00+00:00,190,5,42,20
2024-07-06 00:00:00+00:00,4,4,18,13
2024-07-07 00:00:00+00:00,2,2,183,18
2024-07-08 00:00:00+00:00,136,4,120,23
2024-07-09 00:00:00+00:00,424,7,265,17
2024-07-10 00:00:00+00:00,214,8,205,33
2024-07-11 00:00:00+00:00,401,9,266,26
2024-07-12 00:00:00+00:00,304,10,71,24
2024-07-13 00:00:00+00:00,98,5,148,23
2024-07-14 00:00:00+00:00,3,3,65,20
2024-07-15 00:00:00+00:00,296,9,166,35
2024-07-16 00:00:00+00:00,262,6,256,24
2024-07-17 00:00:00+00:00,172,7,94,38
2024-07-18 00:00:00+00:00,335,9,118,30
2024-07-19 00:00:00+00:00,233,9,60,16
2024-07-20 00:00:00+00:00,39,5,26,9
2024-07-21 00:00:00+00:00,91,3,79,12
2024-07-22 00:00:00+00:00,476,11,190,45
2024-07-23 00:00:00+00:00,196,8,402,134
2024-07-24 00:00:00+00:00,242,12,143,26
2024-07-25 00:00:00+00:00,529,10,160,19
